epoch,loss_G,loss_D
1,6.454334358374278,0.9553132732709249
2,2.9290435632069904,0.7190764645735422
3,2.3325021028518678,0.689002338796854
4,2.081302082538605,0.7021602061887582
5,1.8342606703440347,1.174871845046679
6,1.7011819422245025,0.7827974225083987
7,1.5855907539526621,0.842211464047432
8,1.4874226888020834,0.6285453019042809
9,1.4260825137297313,0.592459003875653
10,1.3432877341906229,0.45641689499219257
11,1.2959659616152446,0.5455134561906259
12,1.2952626208464304,0.46834961033115785
13,1.2451995670795442,0.30038062458237014
14,1.1431317448616027,0.778489837795496
15,1.1112504184246064,0.2960582163184881
16,1.0902551571528116,0.7502752974629402
17,1.0414396087328592,0.44325857429454724
18,0.9937495946884155,0.31798864882439376
19,0.9759510109821955,0.20486092244585355
20,0.9466381440560023,0.047890023918201526
21,0.9320908625920613,0.04451348095511397
22,1.6992920438448589,0.00920978847425431
23,1.1878470957279206,0.012520479154773057
24,1.0459394772847495,0.018347130234663684
25,1.0259750674168269,0.8776378657668829
26,0.932703564564387,0.5264720804368456
27,0.8983639041582744,0.05125231069202225
28,0.8983238627513249,0.030445151900251707
29,0.8465478072563807,0.13352298016349476
30,0.823213768005371,0.03939487842532496
31,0.8043986827135086,0.07279090889108678
32,0.8100428342819214,0.21603706053768595
33,0.7850453575452169,0.018473399508123597
34,0.764100029071172,0.02946860787148277
35,0.7627025862534841,0.012146227100553611
36,0.7425727864106496,0.010776986763812602
37,0.7268186370531718,0.009064176872683068
38,0.7121965219577153,0.009253060103704532
39,0.7053909222284953,0.008252746875708301
40,0.6946486999591192,0.008176042248184483
41,0.7315616408983866,0.00719072949141264
42,0.8596800208091736,0.004996047859701018
43,0.6990368068218231,0.006025025217483441
44,0.6903563360373179,1.6295271800210078
45,0.6572354594866435,1.2499289810657501
46,0.6480238209168117,1.1488556216160457
47,0.6488889505465826,0.7269732208301624
48,0.6267647425333659,0.063680221978575
49,0.6244458138942719,0.2911546042189002
50,0.6214550763368607,0.025200943058977524
51,0.6125077446301778,0.01735722947244843
52,0.6047076106071472,0.015056254233544071
53,0.5966763933499654,0.40320241879671814
54,0.5919604619344075,0.028328183138122163
55,0.5878957639137904,1.1355366595089436
56,0.5901818533738454,0.12087483983486891
57,0.5736485888560613,0.017164713501309357
58,0.5810785283644994,0.010685134616990884
59,0.5650410374005636,0.009756892112394173
60,0.5720814476410548,0.00831764064108332
61,0.5617673585812251,0.0072248148576666915
62,0.5499177485704422,0.007709053841729959
63,0.5436542868614197,0.006583332949473212
64,0.5358490218718847,0.006999254137432824
65,0.5321926131844521,0.009258343818752715
66,0.5325592935085297,1.3307511861125627
67,0.5315330093105634,0.3033676608155171
68,0.5211009909709294,0.015650168899446724
69,0.5176436081528664,0.010548873315565288
70,0.5131002391378084,0.008501641203959782
71,0.5036398539940516,0.007277844900575777
72,0.5048434510827065,0.009913569455966354
73,0.49596059024333955,1.2200670952598254
74,0.4962444916367531,0.29701443209002415
75,0.49588973770538963,0.01619744560060402
